umur,jenis_kelamin,status_ekonomi,jarak_ke_sekolah,nilai_rata2,kehadiran,akses_internet,pendidikan_ortu,jumlah_saudara,konflik_keluarga,dukungan_orangtua,dropout
18,0,0,14.81,61.27,90.87,0,2,0,0,2,1
15,1,0,15.5,59.79,87.85,0,2,4,1,1,1
16,0,1,0.72,57.04,52.78,1,1,1,1,2,1
18,0,2,8.62,81.12,50.34,1,2,1,1,0,1
14,0,0,9.89,89.07,60.62,1,0,3,0,2,1
16,0,2,0.87,78.91,83.18,1,1,2,0,0,0
16,1,0,5.57,57.35,70.56,1,0,2,0,1,1
18,1,0,15.33,90.56,70.12,1,2,1,0,0,1
13,1,2,3.17,81.8,94.23,0,0,0,2,1,0
14,0,1,10.94,69.41,94.78,1,2,4,0,0,0
18,1,0,4.7,83.71,95.46,1,2,4,0,0,1
14,0,0,0.74,63.0,65.69,1,1,0,0,0,1
14,1,0,5.2,67.26,84.55,1,1,1,1,0,1
16,1,2,19.53,95.87,63.58,0,2,4,1,2,0
15,1,1,16.13,64.53,59.53,0,1,2,1,0,1
14,0,2,19.21,73.5,59.23,1,0,0,2,2,1
17,1,2,10.01,94.51,67.11,1,1,3,2,1,1
16,1,1,2.64,85.39,71.5,1,1,1,0,1,0
13,0,2,11.19,53.11,91.55,0,0,0,1,2,0
15,1,1,9.36,57.37,55.99,0,1,4,2,1,1
17,0,0,16.96,50.39,86.75,0,2,1,1,1,1
17,1,1,2.41,81.55,76.57,0,0,2,2,0,1
13,0,0,10.02,72.38,64.4,0,2,1,2,0,1
15,0,2,3.43,56.71,74.64,0,0,1,0,0,1
16,1,2,6.83,97.9,65.0,1,2,2,0,2,0
12,0,0,14.88,76.48,79.8,0,2,2,2,2,1
15,0,2,9.78,62.09,71.69,0,1,1,0,1,0
13,0,1,7.83,75.03,58.22,1,2,2,2,0,1
17,0,0,8.19,83.98,55.83,0,1,0,2,2,1
16,0,2,9.46,53.81,77.33,1,0,2,1,2,0
15,0,0,15.81,63.74,95.12,0,2,2,0,0,1
12,1,1,17.9,90.35,67.2,1,2,1,0,2,0
12,0,1,19.13,72.98,86.65,1,0,0,0,0,0
14,0,2,15.84,77.33,82.93,1,0,3,1,1,0
14,1,1,6.65,71.64,96.58,1,2,3,1,1,0
18,1,0,13.92,52.19,91.05,1,0,4,1,1,1
13,1,1,9.03,58.29,78.33,0,1,2,0,0,1
15,1,0,5.47,72.28,82.85,0,0,2,0,2,0
15,1,0,16.9,60.46,94.92,1,0,0,0,1,1
18,1,1,1.25,52.5,69.98,1,2,3,1,1,1
17,1,2,18.08,92.18,66.34,1,1,4,1,1,0
17,0,1,9.5,99.06,50.54,0,0,0,2,2,1
18,0,0,12.93,89.66,91.33,1,1,2,1,2,0
17,1,0,13.36,92.69,90.05,1,1,3,2,0,1
14,0,1,17.95,62.1,55.22,1,1,4,0,1,1
15,0,2,12.92,98.03,78.84,1,2,1,1,2,0
18,0,2,12.47,59.85,73.2,0,0,3,0,0,1
15,1,0,1.8,97.57,55.94,1,2,4,0,1,1
12,1,0,10.61,99.74,99.03,1,0,0,0,2,0
14,0,2,3.43,85.59,60.73,0,0,1,0,2,0
16,1,1,14.88,99.06,53.36,1,2,4,1,0,1
14,0,0,10.49,78.48,79.74,1,1,4,0,1,0
18,0,0,13.76,62.98,86.94,0,1,2,2,1,1
16,0,2,1.31,71.85,51.62,0,0,3,1,2,0
12,0,1,2.15,79.68,82.94,0,2,2,0,1,0
18,1,2,14.47,53.65,76.61,1,1,1,1,0,1
13,1,1,1.91,81.12,55.16,1,1,4,2,2,1
15,1,1,1.89,99.06,58.63,0,0,2,0,2,0
12,0,1,0.74,59.51,78.4,0,0,3,2,0,1
15,1,0,19.15,89.63,64.82,0,2,1,0,2,1
17,0,2,14.88,95.39,96.92,1,0,0,2,1,0
13,1,2,7.39,97.19,90.94,1,1,2,0,1,0
13,0,1,6.28,98.01,99.18,0,1,1,1,2,0
12,0,0,7.32,76.07,62.98,1,1,0,0,0,1
13,0,0,15.61,98.87,98.49,0,1,2,1,0,1
16,1,2,13.4,87.87,71.56,1,2,1,0,1,0
13,1,0,4.11,58.08,67.38,1,2,1,0,0,1
15,1,0,3.9,73.85,52.52,1,0,2,2,2,1
15,1,1,2.42,85.92,52.64,1,0,1,2,2,1
18,0,0,13.38,62.37,84.6,0,0,4,2,1,1
15,1,1,15.41,82.03,72.9,1,2,2,0,1,0
18,1,2,5.67,83.33,61.33,1,1,1,0,1,0
15,0,0,0.91,58.13,80.7,0,0,0,0,0,1
16,0,2,2.1,78.25,62.64,1,1,0,1,2,0
18,0,2,19.37,88.58,78.88,0,0,4,1,2,0
14,1,0,6.26,74.94,67.96,0,0,2,0,2,1
17,0,0,15.5,50.61,91.18,1,0,1,2,1,1
12,0,2,12.68,50.45,91.03,1,0,1,2,2,1
15,0,0,7.95,67.85,73.87,0,0,0,2,0,1
13,1,1,4.51,96.31,67.54,0,1,4,0,0,1
15,0,1,2.87,61.43,68.13,0,0,0,2,2,1
13,1,0,12.49,81.72,90.29,1,1,0,0,1,0
17,1,2,15.61,61.1,66.41,0,2,4,1,2,1
17,0,0,13.06,66.08,60.45,0,0,2,2,0,1
17,0,0,10.84,92.4,54.23,0,1,1,1,0,1
13,1,2,1.32,86.44,73.33,1,2,2,2,0,1
15,0,2,19.39,54.77,74.11,0,2,3,0,2,0
17,0,1,16.07,71.44,92.05,1,2,3,0,0,0
16,1,2,6.21,51.46,61.06,1,1,3,0,1,1
18,1,1,19.61,74.04,69.05,0,0,4,0,2,0
13,0,2,12.24,83.12,90.42,1,0,0,2,2,0
13,1,0,11.86,55.93,91.18,0,1,2,1,0,1
15,0,1,15.09,64.44,69.23,1,0,1,0,0,1
13,0,1,16.33,69.89,72.96,1,1,3,2,1,0
13,0,1,13.3,95.98,65.16,0,0,2,1,2,0
17,1,0,3.0,99.66,96.63,0,2,3,0,0,1
15,0,0,7.1,52.25,55.93,0,0,3,1,1,1
17,0,0,18.6,88.05,96.69,1,1,1,0,0,1
18,0,0,4.88,68.59,84.19,1,1,4,1,2,0
18,1,0,7.76,69.62,76.58,0,2,0,1,0,1
17,1,1,8.93,87.71,51.63,0,1,4,0,2,0
18,1,0,9.07,95.92,73.78,1,0,2,2,0,1
15,1,1,12.45,97.55,70.39,1,0,4,1,2,0
12,1,0,18.89,78.86,58.06,1,2,2,0,1,1
17,0,2,5.19,67.86,82.82,0,1,2,1,2,0
16,1,1,2.87,89.38,98.56,1,2,0,1,1,0
16,1,2,4.35,62.55,78.11,0,0,1,2,2,1
13,1,1,17.8,78.2,85.74,1,2,0,1,1,0
18,0,2,13.09,67.93,53.42,1,1,4,1,0,1
16,1,0,6.08,82.83,70.88,0,2,2,0,2,0
13,1,0,16.41,62.02,55.82,0,1,3,0,0,1
12,0,0,17.3,59.58,80.64,0,1,3,2,1,1
15,1,1,17.01,95.91,96.92,1,0,2,1,2,0
15,0,2,18.42,55.09,83.09,1,0,0,1,2,0
15,0,0,5.42,75.3,53.84,1,0,1,1,0,1
16,0,2,15.22,61.04,67.73,0,1,0,2,2,1
12,0,2,9.48,51.95,77.53,1,2,2,1,2,0
16,0,0,16.92,51.8,70.16,0,1,2,0,0,1
18,1,0,14.71,58.76,91.68,0,0,1,2,2,1
16,0,2,15.64,93.34,90.73,0,0,4,0,0,0
12,0,0,13.3,64.12,80.59,1,2,4,0,0,1
12,1,0,3.96,97.52,68.67,1,0,1,2,0,1
18,0,0,11.13,79.08,62.77,0,0,4,0,0,1
12,1,1,19.7,71.83,55.29,1,0,3,1,0,1
12,1,2,18.78,79.0,67.74,0,2,4,2,1,1
15,1,2,1.34,75.83,70.66,0,1,4,0,1,0
18,0,1,3.71,87.94,83.79,1,0,4,1,0,0
14,0,2,3.07,64.12,82.91,0,2,3,1,1,0
14,0,0,14.66,67.65,53.51,0,0,4,0,1,1
12,1,2,16.45,94.7,69.76,1,2,3,1,2,0
14,0,0,4.66,97.32,59.09,0,0,1,2,0,1
14,0,1,10.36,94.63,57.84,0,2,0,0,1,0
12,0,0,16.89,70.97,91.37,0,0,1,1,2,0
14,1,2,14.79,89.02,52.1,0,1,0,1,2,0
16,1,2,11.07,73.82,70.96,0,0,1,0,0,0
13,0,2,12.01,74.88,58.41,0,2,0,0,0,1
18,0,1,10.41,60.23,93.97,0,0,0,0,2,0
13,0,1,6.3,79.56,77.85,1,1,2,0,0,0
12,0,2,11.52,59.31,61.57,1,0,0,2,0,1
15,1,0,13.93,66.58,75.12,0,2,0,0,2,0
18,1,1,17.53,92.75,86.57,0,2,2,2,2,0
